tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_temp
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0		LT-NO:LP-DIR-AF	2011:08:06:17:44:03.00	46.14940858	g	-5.499271066	2.52E-06	756528	0.067	u	0	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0		LT-NO:LP-DIR-AF	2011:08:06:17:44:19.00	347.45825787	g	-31.12430153	1.70E-05	756529	0.267	u	0	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0		LT-NO:LP-DIR-AF	2011:08:06:17:44:34.00	31.61130498	g	-14.94022605	2.59E-06	756530	0.467	u	0	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0		LT-NO:LP-DIR-AF	2011:08:06:17:44:49.00	346.74586067	g	-47.01666564	6.56E-06	756531	0.667	u	0	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0		LT-NO:LP-DIR-AF	2011:08:06:17:45:04.00	22.60993981	g	-48.74651286	3.86E-06	756532	0.867	u	0	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0		LT-NO:LP-DIR-AF	2011:08:06:17:45:19.00	0.90653817	g	-64.69397972	2.28E-05	756533	1.067	u	0	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0		LT-NO:LP-DIR-AF	2011:08:06:17:45:34.00	356.251754429	g	-39.14321825	2.37E-05	756534	1.267	u	0	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0		LT-AF-Z:LP-DIR-AF	2011:08:06:18:02:22.00	27.97264055	g	-21.52149215	2.82E-06	756535	0.067	u	0.0025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0		LT-AF-Z:LP-DIR-AF	2011:08:06:18:02:37.00	348.07117276	g	-32.0430273	1.71E-05	756536	0.267	u	0.0025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0		LT-AF-Z:LP-DIR-AF	2011:08:06:18:02:52.00	19.28309208	g	-32.66851336	2.82E-06	756537	0.467	u	0.0025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0		LT-AF-Z:LP-DIR-AF	2011:08:06:18:03:07.00	356.466623003	g	-46.54563183	6.69E-06	756538	0.667	u	0.0025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0		LT-AF-Z:LP-DIR-AF	2011:08:06:18:03:22.00	14.87416203	g	-54.75350169	4.42E-06	756539	0.867	u	0.0025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0		LT-AF-Z:LP-DIR-AF	2011:08:06:18:03:37.00	357.945959516	g	-64.26812849	2.33E-05	756540	1.067	u	0.0025	300
