tab	samples
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	8.82e-05	2.75e-07	0.31	3.0	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05a	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05a1:hz05a2:hz05a3
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;hz05a, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	8.82e-05	2.75e-07	0.31	3.0	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05a	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05a1:hz05a2:hz05a3
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	7.57e-05	4.49e-06	5.93	7.0	33.017	Not Specified	35.568	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05b	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05b1:hz05b2:hz05b3:hz05b4:hz05b5:hz05b6:hz05b7
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;hz05b, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	7.57e-05	4.49e-06	5.93	7.0	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05b	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05b1:hz05b2:hz05b3:hz05b4:hz05b5:hz05b6:hz05b7
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	8.32e-05	3.38e-07	0.41	6.0	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05c	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05c1:hz05c2:hz05c3:hz05c4:hz05c5:hz05c6
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;hz05c, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	8.32e-05	3.38e-07	0.41	6.0	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05c	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05c1:hz05c2:hz05c3:hz05c4:hz05c5:hz05c6
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	6.759999999999999e-05	3.91e-07	0.58	5.0	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05e	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05e2:hz05e3:hz05e4:hz05e5:hz05e6
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;hz05e, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	6.759999999999999e-05	3.91e-07	0.58	5.0	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05e	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05e2:hz05e3:hz05e4:hz05e5:hz05e6
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	8.149999999999999e-05	1.9e-06	2.33	5.0	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05f	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05f1:hz05f2:hz05f3:hz05f4:hz05f6
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;hz05f, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	8.149999999999999e-05	1.9e-06	2.33	5.0	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz05f	hz05	thellier_gui.v.2.29:pmagpy-3.3.2	hz05f1:hz05f2:hz05f3:hz05f4:hz05f6
